ID,Work Item Type,Title,Assigned To,State,Tags
"1","Epic","Fitness App Development","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"5","Bug","Social Media Login Issue","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","Done",
"6","Reminder","Review Diet Plans","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To do",
"7","Issue","As a user, I want to sign in and sign out so that I can securely access my account.","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","Done",
"8","Issue","As a fitness enthusiast, I want to set my fitness goals and upload a profile picture so that my profile is personalized.","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"9","Issue","As a user, I want to choose from various workout categories and customize my workout plans so that I can follow a routine that suits me.","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","Doing",
"10","Task","Create UI for Login Screen","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"11","Task","Integrate OAuth for Social Media Login","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"12","Task","Create UI for Profile Customization","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"13","Task","Implement Backend Logic for Saving Fitness Goals","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"14","Task","Create UI for Workout Categories","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"15","Task","Implement API to Fetch Workout Plans","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
"16","Task","Implement Business Logic for Customizable Plans","Nai Hamdan <nai.hamdan@net.usj.edu.lb>","To Do",
