,,,,,
ID,Title,Work Item Type,Assigned To,State,Tags
19,Authentication,Epic,,To Do,
20,"As a new staff member or manager, I want to be able to register for an account with my email and password.",Issue,,To Do,
21,"As a registered user, I want to log in with my email and password.",Issue,,To Do,
22,"As a registered user, I want the ability to reset my password in case I forget it.",Issue,,To Do,
23,Create Registration Form,Task,Jalal Harb,To Do,
24,Create Registration Form,Task,Jalal Harb,To Do,
25,Store User Data,Task,Jalal Harb,To Do,
26,Create Login Page,Task,Jalal Harb,To Do,
27,Authentication Process,Task,Jalal Harb,To Do,
28,User Session Managment,Task,Jalal Harb,To Do,
29,Password Reset Request,Task,Jalal Harb,To Do,
30,Password Reset Process,Task,Jalal Harb,To Do,
31,Incorrect Tip Distribution Algorithm,Bug Ticket,Jalal Harb,Done,
32,Critical Meeting,Reminder,Jalal Harb,To do,
