ID,Work Item Type,Title,Assigned To,State,Tags
"1","Epic","Aunthentication",,"To Do",
"2","Issue","As a user, I want to be able to log in with my email and password",,"Doing",
"3","Issue","As a user, I should receive an email verification link after registration",,"To Do",
"4","Issue","As a user, I want the option to reset my password if I forget it",,"To Do",
"5","Bug","Login button on the homepage is not working",,"Done",
"6","Reminder","Schedule sprint planning meeting for next week",,"To do",
"7","Task","Create a Login UI Page",,"To Do",
"8","Task","Implement Authentication Logic",,"To Do",
"9","Task","Handle Authentication Errors",,"To Do",
"10","Task","Design Email Template",,"To Do",
"11","Task"," Implement Email Sending",,"To Do",
"12","Task","Verify Email Link Functionality",,"To Do",
"13","Task","Create Password Reset UI Page",,"To Do",
"14","Task","Implement Password Reset Logic",,"To Do",
"15","Task","Verify Password Reset Functionality",,"To Do",
