ID,Work Item Type,Title,Assigned To,State,Tags
"1","Epic","User Interface and Frontend Enhancements","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To Do",
"2","Issue","Update Color Scheme and Typography","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To Do",
"3","Issue","Implement Responsive Design","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To Do",
"4","Issue","Enhance Dashboard Interactivity","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To Do",
"5","Bug","Unresponsive Buttons","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To do",
"6","Deadlines","Frontend BugFix Deadline","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","To do",
"7","Task","change required tailwind fields",,"To Do",
"8","Task","begin development",,"To Do",
"9","Task","Continue optimizing and development",,"To Do",
"10","Bug","Button Bug","Pierre El Kachi <pierre.elkachi@net.usj.edu.lb>","Done",
