ID,Work Item Type,Title,Assigned To,State,Tags
"1","Epic","Authentication","fouad.kabalan <fouad.kabalan@net.usj.edu.lb>","To Do",
"2","Issue","As a frequent user of our online banking platform, I want a straightforward way to recover access to my account when I encounter authentication issues, so that I can efficiently manage my finances without unnecessary disruptions.","fouad.kabalan <fouad.kabalan@net.usj.edu.lb>","To Do",
"3","Issue","As a frequent traveler, I want the application to provide relevant content and recommendations based on my current location so that I can discover nearby attractions, services, and events easily.","fouad.kabalan <fouad.kabalan@net.usj.edu.lb>","To Do",
"4","Issue","As a regular user of our browser or app, I want a reliable way to report and resolve issues, such as crashes or bugs, so that I can have a smoother and more enjoyable experience while using the application.","fouad.kabalan <fouad.kabalan@net.usj.edu.lb>","Done",
"5","Bug Ticket","Bugs","fouad.kabalan <fouad.kabalan@net.usj.edu.lb>","Done",
"6","Task"," Password Reset Request",,"To Do",
"7","Task","Contact Customer Support",,"To Do",
"8","Task","Account Recovery Backup Option",,"To Do",
"9","Task"," Discover Nearby Attractions",,"To Do",
"10","Task","Find Nearby Restaurants",,"To Do",
"11","Task","Explore Local Events",,"To Do",
"12","Task"," Report a Crash",,"To Do",
"13","Task","Report a UI Bug",,"To Do",
"14","Task","Request Feature Enhancement",,"To Do",
"15","Bug Ticket","Log in to your user account or create one if you haven't already.",,"To do",
