ID,Work Item Type,Title,Assigned To,State,Tags
"1","Epic","Fitness App Comprehensive Development",,"To Do",
"2","Issue","As a user, I want to easily onboard and authenticate so that I can securely access the app.",,"Doing",
"3","Issue","As a user, I want access to a comprehensive workout library so that I can choose plans that suit me",,"To Do",
"4","Issue","As a user, I want to complete my profile and personalize my fitness plans so that the app aligns with my health goals.",,"Done",
"5","Bug","Multi-factor Authentication Issue",,"Done",
"6","Reminder","Update Security Protocols",,"To do",
"7","Task","Create UI for login and registration.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"8","Task","Integrate OAuth for social media login","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"9","Task","Create UI for login and registration.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"10","Task","Develop profile completion form.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"11","Task","Implement logic for fitness plan customization.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"12","Task","Create database schema for workout plans.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"13","Task"," Develop UI for workout library.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
"14","Task","Integrate multimedia support for workout plans.","Elie Hayek (El) <elie.hayek2@net.usj.edu.lb>","To Do",
